Router,Host,Index,Transporte(Gbps),Status
SWGPRS01-ST1,10.235.192.182,264,2,-
SWGPRS01-ST1,10.235.192.182,265,2,-
SWGPRS01-ST1,10.235.192.182,268,2,-
SWGPRS01-ST1,10.235.192.182,269,10,-
SWGPRS01-ST1,10.235.192.182,270,10,-
SWGPRS01-ST1,10.235.192.182,266,2,-
SWGPRS01-ST1,10.235.192.182,267,2,-
SWGPRS01-ST1,10.235.192.182,271,2,-
SWGPRS01-ST1,10.235.192.182,505,40,-
SWGPRS01-ST1,10.235.192.182,570,40,-
SWGPRS01-ST1,10.235.192.182,569,20,-
SWGPRS01-ST1,10.235.192.182,573,20,-
SWGPRS01-ST1,10.235.192.182,482,10,-
SWGPRS01-ST1,10.235.192.182,118,1,-
SWGPRS01-ST1,10.235.192.182,119,1,-
SWGPRS01-ST1,10.235.192.182,224,1,-
SWGPRS01-ST1,10.235.192.182,489,10,-
SWGPRS01-ST1,10.235.192.182,484,10,
SWGPRS01-ST1,10.235.192.182,487,10,
SWGPRS02-ST1,10.235.192.183,256,2,
SWGPRS02-ST1,10.235.192.183,259,2,
SWGPRS02-ST1,10.235.192.183,260,10,
SWGPRS02-ST1,10.235.192.183,261,10,
SWGPRS02-ST1,10.235.192.183,258,2,
SWGPRS02-ST1,10.235.192.183,257,2,
SWGPRS02-ST1,10.235.192.183,262,2,
SWGPRS02-ST1,10.235.192.183,489,40,
SWGPRS02-ST1,10.235.192.183,544,40,
SWGPRS02-ST1,10.235.192.183,554,20,
SWGPRS02-ST1,10.235.192.183,556,20,
SWGPRS02-ST1,10.235.192.183,467,10,
SWGPRS02-ST1,10.235.192.183,158,1,
SWGPRS02-ST1,10.235.192.183,159,1,
SWGPRS02-ST1,10.235.192.183,128,1,
SWGPRS02-ST1,10.235.192.183,474,10,
SWGPRS02-ST1,10.235.192.183,469,10,
SWGPRS02-ST1,10.235.192.183,472,10,
OSR01-VillaSalvador,10.235.0.42,340,4,
OSR01-VillaSalvador,10.235.0.42,303,40,
OSR01-VillaSalvador,10.235.0.42,92,20,
OSR01-VillaSalvador,10.235.0.42,51,10,
OSR01-VillaSalvador,10.235.0.42,52,10,
OSR01-VillaSalvador,10.235.0.42,427,10,
OSR01-VillaSalvador,10.235.0.42,203,1,
OSR01-VillaSalvador,10.235.0.42,204,1,
OSR01-VillaSalvador,10.235.0.42,127,1,
OSR01-VillaSalvador,10.235.0.42,275,10,
OSR01-VillaSalvador,10.235.0.42,281,10,
OSR02-VillaSalvador,10.235.0.43,318,4,
OSR02-VillaSalvador,10.235.0.43,305,40,
OSR02-VillaSalvador,10.235.0.43,65,20,
OSR02-VillaSalvador,10.235.0.43,51,10,
OSR02-VillaSalvador,10.235.0.43,52,10,
OSR02-VillaSalvador,10.235.0.43,420,10,
OSR02-VillaSalvador,10.235.0.43,203,1,
OSR02-VillaSalvador,10.235.0.43,204,1,
OSR02-VillaSalvador,10.235.0.43,124,1,
OSR02-VillaSalvador,10.235.0.43,275,10,
OSR02-VillaSalvador,10.235.0.43,281,10,
cAGREGADORTrujillo2,10.235.212.5,207,20,
cAGREGADORTrujillo2,10.235.212.5,663,2,
cAGREGADORTrujillo2,10.235.212.5,664,2,
cAGREGADORTrujillo2,10.235.212.5,611,20,
cAGREGADORTrujillo2,10.235.212.5,629,2,
cAGREGADORTrujillo2,10.235.212.5,630,10,
cAGREGADORTrujillo2,10.235.212.5,667,2,
cAGREGADORTrujillo2,10.235.212.5,672,10,
cAGREGADORTrujillo2,10.235.212.5,697,2,
cAGREGADORTrujillo2,10.235.212.5,735,20,
cAGREGADORTrujillo3,10.235.212.6,207,20,
cAGREGADORTrujillo3,10.235.212.6,660,2,
cAGREGADORTrujillo3,10.235.212.6,661,2,
cAGREGADORTrujillo3,10.235.212.6,609,20,
cAGREGADORTrujillo3,10.235.212.6,627,2,
cAGREGADORTrujillo3,10.235.212.6,674,10,
cAGREGADORTrujillo3,10.235.212.6,664,2,
cAGREGADORTrujillo3,10.235.212.6,666,10,
cAGREGADORTrujillo3,10.235.212.6,693,2,
cAGREGADORTrujillo3,10.235.212.6,729,20,
cAGREGADORArequipa2,10.235.238.5,291,20,
cAGREGADORArequipa2,10.235.238.5,292,2,
cAGREGADORArequipa2,10.235.238.5,293,10,
cAGREGADORArequipa2,10.235.238.5,294,2,
cAGREGADORArequipa2,10.235.238.5,295,20,
cAGREGADORArequipa2,10.235.238.5,296,2,
cAGREGADORArequipa2,10.235.238.5,297,10,
cAGREGADORArequipa2,10.235.238.5,298,2,
cAGREGADORArequipa2,10.235.238.5,722,2,
cAGREGADORArequipa2,10.235.238.5,900,20,
cAGREGADORArequipa2,10.235.238.5,4,10,
cAGREGADORArequipa2,10.235.238.5,7,10,
cAGREGADORArequipa2,10.235.238.5,2,10,
cAGREGADORArequipa2,10.235.238.5,3,10,
cAGREGADORArequipa2,10.235.238.5,108,1,
cAGREGADORArequipa3,10.235.238.6,4,10,
cAGREGADORArequipa3,10.235.238.6,7,10,
cAGREGADORArequipa3,10.235.238.6,2,10,
cAGREGADORArequipa3,10.235.238.6,3,10,
cAGREGADORArequipa3,10.235.238.6,108,1,
cAGREGADORArequipa3,10.235.238.6,291,20,
cAGREGADORArequipa3,10.235.238.6,292,2,
cAGREGADORArequipa3,10.235.238.6,293,10,
cAGREGADORArequipa3,10.235.238.6,294,2,
cAGREGADORArequipa3,10.235.238.6,295,20,
cAGREGADORArequipa3,10.235.238.6,296,2,
cAGREGADORArequipa3,10.235.238.6,297,10,
cAGREGADORArequipa3,10.235.238.6,298,2,
cAGREGADORArequipa3,10.235.238.6,751,20,
cAGREGADORTrujillo2,10.235.212.5,423,10,
cAGREGADORTrujillo2,10.235.212.5,424,10,
cAGREGADORTrujillo2,10.235.212.5,17,1,
cAGREGADORTrujillo2,10.235.212.5,425,10,
cAGREGADORTrujillo2,10.235.212.5,428,10,
cAGREGADORTrujillo3,10.235.212.6,421,10,
cAGREGADORTrujillo3,10.235.212.6,422,10,
cAGREGADORTrujillo3,10.235.212.6,17,1,
cAGREGADORTrujillo3,10.235.212.6,423,10,
cAGREGADORTrujillo3,10.235.212.6,426,10,
