Router,Host,Index,Transporte(Gbps),Status
rCSRUcoPaucasChingas,10.253.14.140,35913728,0.016,-
rCSRRodriguezMendoza,10.253.14.142,35913728,0.03,-
rCSRYauyos,10.253.5.87,35913728,0.016,-
rCSRSandia,10.134.33.82,35913728,0.03,-
rCSRPausa,10.253.27.173,35913728,0.016,-
rCSRHuancaSancos,10.253.17.185,35913728,0.2,-
rCSRCotahuasiHuaynacotas,10.134.33.83,35913728,0.016,-
rCSRChuquibambilla,10.253.19.152,35913728,0.03,-
rCSRPiscobamba,10.253.14.75,35913728,0.08,-
rCSRCastrovirreyna,10.253.17.169,35913728,0.02,-
rCSRAntabamba,10.253.19.153,35913728,0.03,-
rCSRChalhuanca,10.253.19.151,35913728,0.03,-
rCSRTayabamba,10.253.14.141,35913728,0.045,-
rCSRHuacrachuco,10.253.27.174,35913728,0.06,-
rCSRAcomayo,10.253.19.149,35913728,0.03,-
LRT-YRM-AN01,10.140.10.198,46366720,0.1,-
rCSRMollendo,10.134.33.81,35913728,0.02,-
rCSRPuquio,10.253.17.168,35913728,0.05,-
rCSRInhapari,10.253.20.75,35913728,0.05,-
rCSRTarata,10.252.37.224,35913728,0.03,-
rCSROmate,10.252.37.42,35913728,0.07,-
rCSRHuaytara,10.253.17.186,35913728,0.02,-
rCSROyon,10.253.5.95,35913728,0.05,-
rCSRCoraCora,10.253.17.184,35913728,0.02,-
rCSRPuertoInca,10.253.27.175,35913728,66,-
