Router,Host,Index,Transporte(Gbps),Status,device_index
cAGREGADORArequipa2,10.235.238.5,2,10,-,cAGREGADORArequipa22
cAGREGADORArequipa2,10.235.238.5,3,10,-,cAGREGADORArequipa23
cAGREGADORArequipa2,10.235.238.5,4,10,-,cAGREGADORArequipa24
cAGREGADORArequipa2,10.235.238.5,5,10,-,cAGREGADORArequipa25
cAGREGADORArequipa2,10.235.238.5,6,10,-,cAGREGADORArequipa26
cAGREGADORArequipa2,10.235.238.5,7,10,-,cAGREGADORArequipa27
cAGREGADORArequipa2,10.235.238.5,55,10,-,cAGREGADORArequipa255
cAGREGADORArequipa2,10.235.238.5,65,1,-,cAGREGADORArequipa265
cAGREGADORArequipa2,10.235.238.5,66,1,-,cAGREGADORArequipa266
cAGREGADORArequipa2,10.235.238.5,67,1,-,cAGREGADORArequipa267
cAGREGADORArequipa2,10.235.238.5,72,10,-,cAGREGADORArequipa272
cAGREGADORArequipa2,10.235.238.5,73,10,-,cAGREGADORArequipa273
cAGREGADORArequipa2,10.235.238.5,108,1,-,cAGREGADORArequipa2108
cAGREGADORArequipa2,10.235.238.5,930,1,-,cAGREGADORArequipa2930
cAGREGADORArequipa3,10.235.238.6,2,10,-,cAGREGADORArequipa32
cAGREGADORArequipa3,10.235.238.6,3,10,-,cAGREGADORArequipa33
cAGREGADORArequipa3,10.235.238.6,4,10,-,cAGREGADORArequipa34
cAGREGADORArequipa3,10.235.238.6,5,10,-,cAGREGADORArequipa35
cAGREGADORArequipa3,10.235.238.6,6,10,-,cAGREGADORArequipa36
cAGREGADORArequipa3,10.235.238.6,7,10,-,cAGREGADORArequipa37
cAGREGADORArequipa3,10.235.238.6,55,10,-,cAGREGADORArequipa355
cAGREGADORArequipa3,10.235.238.6,65,1,-,cAGREGADORArequipa365
cAGREGADORArequipa3,10.235.238.6,66,1,-,cAGREGADORArequipa366
cAGREGADORArequipa3,10.235.238.6,67,1,-,cAGREGADORArequipa367
cAGREGADORArequipa3,10.235.238.6,73,10,-,cAGREGADORArequipa373
cAGREGADORArequipa3,10.235.238.6,108,1,-,cAGREGADORArequipa3108
cAGREGADORArequipa3,10.235.238.6,779,1,-,cAGREGADORArequipa3779
cAGREGADORTrujillo2,10.235.212.5,17,1,-,cAGREGADORTrujillo217
cAGREGADORTrujillo2,10.235.212.5,72,10,-,cAGREGADORTrujillo272
cAGREGADORTrujillo2,10.235.212.5,423,10,-,cAGREGADORTrujillo2423
cAGREGADORTrujillo2,10.235.212.5,424,10,-,cAGREGADORTrujillo2424
cAGREGADORTrujillo2,10.235.212.5,425,10,-,cAGREGADORTrujillo2425
cAGREGADORTrujillo2,10.235.212.5,426,10,-,cAGREGADORTrujillo2426
cAGREGADORTrujillo2,10.235.212.5,427,10,-,cAGREGADORTrujillo2427
cAGREGADORTrujillo2,10.235.212.5,428,10,-,cAGREGADORTrujillo2428
cAGREGADORTrujillo2,10.235.212.5,558,10,-,cAGREGADORTrujillo2558
cAGREGADORTrujillo2,10.235.212.5,588,1,-,cAGREGADORTrujillo2588
cAGREGADORTrujillo2,10.235.212.5,593,1,-,cAGREGADORTrujillo2593
cAGREGADORTrujillo2,10.235.212.5,595,1,-,cAGREGADORTrujillo2595
cAGREGADORTrujillo2,10.235.212.5,637,10,-,cAGREGADORTrujillo2637
cAGREGADORTrujillo2,10.235.212.5,638,10,-,cAGREGADORTrujillo2638
cAGREGADORTrujillo2,10.235.212.5,741,10,-,cAGREGADORTrujillo2741
cAGREGADORTrujillo2,10.235.212.5,849,10,-,cAGREGADORTrujillo2849
cAGREGADORTrujillo2,10.235.212.5,858,10,-,cAGREGADORTrujillo2858
cAGREGADORTrujillo2,10.235.212.5,867,10,-,cAGREGADORTrujillo2867
cAGREGADORTrujillo2,10.235.212.5,876,10,-,cAGREGADORTrujillo2876
cAGREGADORTrujillo3,10.235.212.6,17,1,-,cAGREGADORTrujillo317
cAGREGADORTrujillo3,10.235.212.6,421,10,-,cAGREGADORTrujillo3421
cAGREGADORTrujillo3,10.235.212.6,422,10,-,cAGREGADORTrujillo3422
cAGREGADORTrujillo3,10.235.212.6,423,10,-,cAGREGADORTrujillo3423
cAGREGADORTrujillo3,10.235.212.6,424,10,-,cAGREGADORTrujillo3424
cAGREGADORTrujillo3,10.235.212.6,425,10,-,cAGREGADORTrujillo3425
cAGREGADORTrujillo3,10.235.212.6,426,10,-,cAGREGADORTrujillo3426
cAGREGADORTrujillo3,10.235.212.6,556,10,-,cAGREGADORTrujillo3556
cAGREGADORTrujillo3,10.235.212.6,586,1,-,cAGREGADORTrujillo3586
cAGREGADORTrujillo3,10.235.212.6,589,1,-,cAGREGADORTrujillo3589
cAGREGADORTrujillo3,10.235.212.6,592,1,-,cAGREGADORTrujillo3592
cAGREGADORTrujillo3,10.235.212.6,634,10,-,cAGREGADORTrujillo3634
cAGREGADORTrujillo3,10.235.212.6,635,10,-,cAGREGADORTrujillo3635
