Router,Host,Index,Transporte(Gbps),Status
rMPLSCorePolo1_2,10.235.0.79,62,200,-
rMPLSCorePolo1_3,10.235.0.87,82,200,-
rMPLSCorePolo1_2,10.235.0.79,154,100,
rMPLSCorePolo1_2,10.235.0.79,163,300,
rMPLSCorePolo1_2,10.235.0.79,156,200,
rMPLSCorePolo1_3,10.235.0.87,21,10,
rMPLSCorePolo1_3,10.235.0.87,23,10,
rMPLSCorePolo1_3,10.235.0.87,66,10,
rMPLSCorePolo1_3,10.235.0.87,68,10,
rMPLSCoreVillaSalvador3,10.235.0.82,60,200,-
rMPLSCoreVillaSalvador2,10.235.0.81,58,200,-
rMPLSCoreVillaSalvador2,10.235.0.81,100,100,
rMPLSCoreVillaSalvador2,10.235.0.81,68,100,
rMPLSCoreVillaSalvador3,10.235.0.82,95,100,
rMPLSCoreVillaSalvador3,10.235.0.82,125,100,
rMPLSCoreVillaSalvador3,10.235.0.82,150,200,
rMPLSCoreArequipa,10.235.2.16,111,20,-
rMPLSCoreArequipa,10.235.2.16,21,10,-
rMPLSCoreArequipa2,10.235.3.32,37,100,-
rMPLSCoreArequipa2,10.235.3.32,32,100,-
rMPLSCoreArequipa2,10.235.3.32,21,10,-
rMPLSCoreArequipa2,10.235.3.32,22,10,-
rMPLSCoreArequipa2,10.235.3.32,26,10,-
rMPLSCoreArequipa2,10.235.3.32,27,10,-
rMPLSCoreArequipa2,10.235.3.32,28,10,-
rMPLSCoreArequipa2,10.235.3.32,29,10,-
rMPLSCoreArequipa2,10.235.3.32,46,60,-
rMPLSCoreArequipa2,10.235.3.32,94,100,
rMPLSCoreArequipa3,10.235.3.33,8,100,-
rMPLSCoreArequipa3,10.235.3.33,13,100,-
rMPLSCoreArequipa3,10.235.3.33,15,100,
rMPLSCoreArequipa3,10.235.3.33,50,10,
rMPLSCoreArequipa3,10.235.3.33,51,10,
rMPLSCoreArequipa3,10.235.3.33,52,10,
rMPLSCoreTrujillo,10.235.2.1,115,20,-
rMPLSCoreTrujillo,10.235.2.1,9,10,-
rMPLSCoreTrujillo2,10.235.3.1,38,100,-
rMPLSCoreTrujillo2,10.235.3.1,93,100,-
rMPLSCoreTrujillo2,10.235.3.1,6,100,-
rMPLSCoreTrujillo2,10.235.3.1,90,100,-
rMPLSCoreTrujillo2,10.235.3.1,24,10,-
rMPLSCoreTrujillo2,10.235.3.1,25,10,-
rMPLSCoreTrujillo2,10.235.3.1,26,10,-
rMPLSCoreTrujillo2,10.235.3.1,27,10,-
rMPLSCoreTrujillo2,10.235.3.1,101,40,-
rMPLSCoreTrujillo3,10.235.3.2,8,100,-
rMPLSCoreTrujillo3,10.235.3.2,24,100,-
rMPLSCoreTrujillo2,10.235.3.1 ,92,100,
rMPLSCoreTrujillo2,10.235.3.1 ,91,100,
rMPLSCoreTrujillo2,10.235.3.1 ,42,100,
rMPLSCoreTrujillo2,10.235.3.1 ,93,100,
rMPLSCoreTrujillo3,10.235.3.2,103,50,
rMPLSChiclayo5,10.235.3.7,87,10,
rMPLSChiclayo5,10.235.3.7,78,10,
rMPLSChiclayo5,10.235.3.7,79,10,
rMPLSChiclayo5,10.235.3.7,80,10,
rMPLSChiclayo5,10.235.3.7,81,10,
rMPLSTarapoto3,10.235.3.17,110,10,
rMPLSTarapoto3,10.235.3.17,117,3,
rMPLSIquitos2,10.235.2.108,14,1,
rMPLSIquitos2,10.235.2.108,29,1,
rMPLSIquitos2,10.235.2.108,30,1,
rMPLSIquitos2,10.235.2.108,32,10,
rMPLSIquitos2,10.235.2.109,24,1,
rMPLSIquitos2,10.235.2.109,36,1,
rMPLSIquitos2,10.235.2.109,37,1,
rMPLSHuanuco3,10.235.3.15,213,200,
rMPLSHuanuco4,10.235.3.16,214,200,
rMPLSCajamarca5,10.235.3.14,114,200,
rMPLSCajamarca4,10.235.3.13 ,216,30,
rMPLSTumbes2,10.235.3.11,60,20,
rMPLSTumbes,10.235.3.10,61,20,
rMPLSPiura3,10.235.3.8,35,10,
rMPLSPiura3,10.235.3.8,35,10,
rMPLSPiura3,10.235.3.8,122,10,
rMPLSPiura3,10.235.3.8,123,10,
rMPLSPiura3,10.235.3.8,279,10,
rMPLSPiura3,10.235.3.8,149,20,
rMPLSPiura4,10.235.3.9 ,117,10,
rMPLSPiura4,10.235.3.9 ,157,100,
rMPLSPiura4,10.235.3.9 ,112,20,
rCorePolo1_1,10.235.0.83,35,10,-
rCorePolo1_2,10.235.0.84,35,10,-
rCoreVillaSalvador,10.235.0.85,33,10,-
rCoreVillaSalvador2,10.235.0.88,33,10,-
rMPLSVillaSalvadorBR1,10.235.0.48,168,200,-
rMPLSVillaSalvadorBR01,10.235.0.124,222,300,-
rMPLSVillaSalvadorBR01,10.235.0.124,223,200,-
rMPLSVillaSalvadorBR1,10.235.0.48,167,200,
rMPLSPolo1BR2,10.235.0.49,204,300,-
rMPLSPolo1BR02,10.235.0.123,220,300,-
rMPLSPolo1BR02,10.235.0.123,221,200,-
rMPLSTrujilloBR3,10.235.2.8,110,100,-
rMPLSTrujilloBR3,10.235.2.8,88,60,-
rMPLSTrujilloBR03,10.235.3.5,82,100,-
rMPLSTrujilloBR3,10.235.3.5,83,100,-
rMPLSTrujilloBR03,10.235.3.5,84,100,-
rMPLSArequipaBR4,10.235.2.18,37,80,-
rMPLSArequipaBR4,10.235.2.18,55,40,-
rMPLSArequipaBR4,10.235.3.36,90,100,-
rMPLSArequipaBR04,10.235.3.36,91,100,-
rMPLSArequipaBR04,10.235.3.36,92,100,-
rMPLSArequipaBR8,10.235.3.36 ,84,100,
rMPLSArequipaBR8,10.235.3.36 ,85,100,
rMPLSIca5,10.235.3.47,55,10,
rMPLSIca5,10.235.3.47,56,10,
rMPLSIca5,10.235.3.47,57,10,
rMPLSIca4,10.235.3.46,46,10,
rMPLSIca4,10.235.3.46,47,10,
rMPLSIca4,10.235.3.46,48,10,
rMPLSHuancayo4,10.235.3.41,55,10,
rMPLSHuancayo4,10.235.3.41,56,10,
rMPLSHuancayo4,10.235.3.41,57,10,
rMPLSHuancayo4,10.235.3.41,93,20,
rMPLSHuancayo3,10.235.3.40,82,30,
rMPLSHuancayo3,10.235.3.40,234,20,
rMPLSCuzco5,10.235.3.38 ,112,40,
rMPLSCuzco5,10.235.3.38 ,113,40,
rMPLSCuzco4,10.235.3.37,110,40,
rMPLSJuliaca4,10.235.3.43  ,45,10,
rMPLSJuliaca3,10.235.3.42 ,44,10,
rMPLSPuno2,10.235.3.45,63,20,
rMPLSPuno,10.235.3.44,62,20,
rMPLSTacna02,10.235.2.28 ,31,10,
rMPLSTacna02,10.235.2.28 ,28,10,
rMPLSTacna01,10.235.2.21,36,10,
rMPLSTacna01,10.235.2.21,28,10,
rMPLSTacna01,10.235.2.21,29,10,
rMPLSTacna01,10.235.2.21,30,10,
rMPLSMoquegua2,10.235.2.112,38,10,
rMPLSMoquegua2,10.235.2.112,37,10,
rMPLSMoquegua,10.235.2.111 ,32,10,
rMPLSMoquegua,10.235.2.111 ,35,10,
rMPLSMoquegua,10.235.2.111 ,34,10,
rMPLSJuliaca2,10.235.2.115,409,10,
rMPLSJuliaca2,10.235.2.115,301,10,
rMPLSJuliaca2,10.235.2.115,23,10,
rMPLSJuliaca2,10.235.2.115,413,10,
rMPLSIca2,10.235.2.22,32,10,
rMPLSChincha3,10.235.2.118,13,10,
rMPLSChincha2,10.235.2.117,36,10,
rMPLSAsia3,10.235.0.78 ,30,10,
rMPLSAsia2,10.235.0.77,33,10,
rMPLSCuzco2,10.235.2.20 ,453,40,
rMPLSayacucho,10.235.2.122,99,40,
rMPLSayacucho,10.235.2.122,98,40,
rMPLSHuancayo2,10.235.2.120,55,10,
rMPLSHuancayo2,10.235.2.120,56,10,
rMPLSHuancayo2,10.235.2.120,57,10,
rMPLSHuancayo2,10.235.2.120,58,10,
rMPLSHuancayo2,10.235.2.120,112,10,
rMPLSLaOroya,10.235.2.113,40,10,
rMPLSLaOroya,10.235.2.113,41,10,
rMPLSLaOroya,10.235.2.113,47,10,
rMPLSLaOroya,10.235.2.113,71,10,
rMPLSPolo1_2,10.235.0.45,1019,10,-
SW01-POLO1,10.235.192.164,97,10,-
SWGPRS01-ST1,10.235.192.182,573,40,-
SWGPRS01-ST1,10.235.192.182,570,40,-
cAGREGADORPolo1_3,10.235.192.116,5,10,-
rMPLSPolo1_2,10.235.0.45,757,20,-
rMPLSPolo1_2,10.235.0.45,24,60,-
rMPLSPolo1_2,10.235.0.45,48,10,-
rMPLSPolo1_2,10.235.0.45,62,1,-
rMPLSPolo1_2,10.235.0.45,966,40,-
rMPLSPolo1_2,10.235.0.45,944,60,-
rMPLSPolo1_2,10.235.0.45,36,10,-
rMPLSPolo1_3,10.235.0.63,164,20,-
rMPLSPolo1_3,10.235.0.63,11,10,-
rMPLSPolo1_3,10.235.0.63,12,10,-
rMPLSPolo1_4,10.235.0.64,11,10,-
rMPLSPolo1_4,10.235.0.64,165,10,-
rMPLSPolo1_4,10.235.0.64,16,10,-
rMPLSPolo2_1,10.235.0.9,549,30,-
rMPLSPolo2_1,10.235.0.9,21,10,-
rMPLSPolo2_1,10.235.0.9,160,10,-
rMPLSPolo2_1,10.235.0.9,161,10,-
rMPLSPolo2_1,10.235.0.9,198,10,-
rMPLSPolo2_1,10.235.0.9,583,20,-
rMPLSPolo2_1,10.235.0.9,199,10,-
rMPLSPolo2_2,10.235.0.10,309,40,-
rMPLSPolo2_2,10.235.0.10,17,10,-
rMPLSPolo2_2,10.235.0.10,15,10,-
rMPLSPolo2_2,10.235.0.10,64,10,-
rMPLSPolo2_2,10.235.0.10,65,10,-
rMPLSPolo2_3,10.235.0.65,44,10,-
rMPLSPolo2_3,10.235.0.65,16,10,-
rMPLSPolo2_3,10.235.0.65,17,10,-
rMPLSPolo2_4,10.235.0.66,19,10,-
rMPLSPolo2_4,10.235.0.66,42,10,-
OSR01-LAMILLA,10.235.2.236,74,10,
OSR01-LAMILLA,10.235.2.236,73,10,
OSR01-LAMILLA,10.235.2.236,98,10,-
OSR02-LAMILLA,10.235.2.237,50,10,-
OSR01-VillaSalvador,10.235.0.42,49,10,-
OSR01-VillaSalvador,10.235.0.42,52,10,-
OSR01-VillaSalvador,10.235.0.42,457,10,-
OSR01-VillaSalvador,10.235.0.42,458,10,-
OSR01-VillaSalvador,10.235.0.42,50,10,-
OSR02-Villasalvador,10.235.0.43,49,10,-
OSR02-Villasalvador,10.235.0.43,52,10,-
OSR02-Villasalvador,10.235.0.43,436,10,-
OSR02-Villasalvador,10.235.0.43,437,10,-
OSR02-JUNIN,10.235.2.233,482,20,
OSR02-LAMBAYEQUE,10.235.2.235,122,10,
OSR02_PUNO,10.235.2.243,290,10,
OSR02_PUNO,10.235.2.243,186,10,
OSR02_PUNO,10.235.2.243,114,10,
OSR02_PUNO,10.235.2.243,298,10,
OSR01-LAMBAYEQUE,10.235.2.234 ,182,10,
OS01-PIURA,10.235.2.240,98,10,
rMPLSVillaSalvador3,10.235.0.75,34,10,-
rMPLSVillaSalvador3,10.235.0.75,50,10,-
rMPLSVillaSalvador3,10.235.0.75,51,10,-
rMPLSVillaSalvador4,10.235.0.76,34,10,-
rMPLSVillaSalvador4,10.235.0.76,35,10,-
rMPLSVillaSalvador4,10.235.0.76,51,10,-
rMPLSColonial,10.235.0.132,274,100,-
rMPLSLosOlivos2,10.235.0.135,273,100,-
rMPLSSantaLuzmila,10.235.0.136,274,100,-
rMPLSIngenieria,10.235.0.134,275,100,-
rMPLSCotabambas2,10.235.0.133,273,100,-
rMPLSCotabambas2,10.235.0.133,275,100,-
rMPLSLosOlivos2,10.235.0.135,275,100,-
rAGREGADORHiguereta2,10.235.0.125,596,10,-
rAGREGADORHiguereta2,10.235.0.125,672,40,-
rAGREGADORHiguereta2,10.235.0.125,1512,100,-
rAGREGADORZarate2,10.235.0.69,66,10,-
rAGREGADORZarate2,10.235.0.69,67,10,-
rAGREGADORZarate2,10.235.0.69,469,100,-
rAGREGADORSantaAnita,10.235.0.130,60,10,-
rAGREGADORSantaAnita,10.235.0.130,61,10,-
rAGREGADORLaMolina,10.235.0.129,61,10,-
rAGREGADORLaMolina,10.235.0.129,60,10,-
rAGREGADORLaMolina,10.235.0.129,361,30,-
rAGREGADORCamacho2,10.235.0.128,20,10,-
rAGREGADORCamacho2,10.235.0.128,21,10,-
rAGREGADORMonterrico,10.235.0.127,60,10,-
rAGREGADORMonterrico,10.235.0.127,61,10,-
rAGREGADORAviacion,10.235.0.126,60,10,-
rAGREGADORAviacion,10.235.0.126,61,10,-
rAGREGADORAviacion,10.235.0.126,1081,40,-
ceAGREGADORArequipa,10.235.238.236 ,239,20,
