Equipo,Host
ARQ-CAQ-AN01,10.253.30.124
AgMPLSAeropuerto,10.253.4.13
AgMPLSArequipa,10.253.18.1
AgMPLSArriola,10.253.8.16
AgMPLSAviacion,10.253.2.16
AgMPLSAyaviri,10.191.200.2
AgMPLSBarranca,10.253.22.4
AgMPLSBaseLosIncas,10.253.4.9
AgMPLSCACPuertoMaldonado,10.253.20.1
AgMPLSCajamarca,10.253.16.1
AgMPLSCamacho,10.253.2.27
AgMPLSCEmpSanIsidro,10.253.8.8
AgMPLSChacarilla,10.253.2.9
AgMPLSChaspi,10.191.200.8
AgMPLSChimbote,10.253.13.1
AgMPLSChinchon,10.253.8.9
AgMPLSChorrillos,10.253.6.15
AgMPLSColonial,10.253.0.36
AgMPLSColonial2,10.253.0.35
AgMPLSCotabambas,10.253.0.2
AgMPLSCotabambas2,10.253.0.3
AgMPLSCotabambas3,10.253.0.4
AgMPLSCuzco,10.253.21.1
AgMPLSHiguereta,10.253.2.6
AgMPLSHuacho,10.253.22.1
AgMPLSHuauraPueblo,10.253.22.3
AgMPLSHuisonroque,10.191.200.1
AgMPLSIca,10.253.17.1
AgMPLSJockeyPlaza,10.253.2.15
AgMPLSJuliaca,10.191.200.3
AgMPLSLaCultura,10.253.21.9
AgMPLSLaMerced,10.253.27.10
AgMPLSLaMolina,10.253.2.33
AgMPLSLosOlivos,10.253.0.30
AgMPLSLurin,10.253.6.24
AgMPLSMachuPicchu,10.191.192.2
AgMPLSMonterrico,10.253.2.22
AgMPLSMoquegua,10.253.28.1
AgMPLSNeshuya,10.253.17.17
AgMPLSOcharan,10.253.6.8
AgMPLSOcharan2,10.253.6.9
AgMPLSOcharan3,10.253.6.10
AgMPLSPacasmayo,10.253.12.5
AgMPLSPampaLibre,10.253.12.1
AgMPLSPlayaArica,10.253.6.29
AgMPLSPucallpa,10.253.17.16
AgMPLSPunoCentro,10.191.200.5
AgMPLSQuillabamba,10.253.21.15
AgMPLSSanFelipe,10.253.4.4
AgMPLSSanJuan,10.253.6.20
AgMPLSSanJuan2,10.253.6.21
AgMPLSSantaAnita,10.253.2.41
AgMPLSSantaLuzmila,10.253.0.21
AgMPLSSantaLuzmila2,10.253.0.22
AgMPLSSicuani,10.191.192.1
AgMPLSSullana,10.253.10.2
AgMPLSTarma,10.253.27.9
AgMPLSTorreLarcoMar,10.253.6.7
AgMPLSUrubamba,10.253.21.12
AgMPLSVentanilla,10.253.4.8
AgMPLSVillaSalvador,10.253.6.30
AgMPLSZarate,10.253.2.46
