Router,Host,Index,Transporte(Gbps),Descripcion
ceAGREGADORServiciosPolo1,10.235.192.91,285,3.6,1er Nodo de Polo1 - Servidor N_1
ceAGREGADORServiciosPolo1,10.235.192.91,286,3.6,1er Nodo de Polo1 - Servidor N_2
ceAGREGADORServiciosPolo1,10.235.192.91,287,3.6,1er Nodo de Polo1 - Servidor N_3
ceAGREGADORServiciosPolo1,10.235.192.91,288,3.6,1er Nodo de Polo1 - Servidor N_4
ceAGREGADORServiciosPolo1,10.235.192.91,289,3.6,1er Nodo de Polo1 - Servidor N_5
ceAGREGADORServiciosPolo1,10.235.192.91,290,3.6,1er Nodo de Polo1 - Servidor N_6
ceAGREGADORServiciosPolo1,10.235.192.91,291,3.6,1er Nodo de Polo1 - Servidor N_7
ceAGREGADORServiciosPolo1,10.235.192.91,292,3.6,1er Nodo de Polo1 - Servidor N_8
ceAGREGADORServiciosPolo1,10.235.192.91,294,3.6,2do Nodo de Polo1 - Servidor N_1
ceAGREGADORServiciosPolo1,10.235.192.91,295,3.6,2do Nodo de Polo1 - Servidor N_2
ceAGREGADORServiciosPolo1,10.235.192.91,296,3.6,2do Nodo de Polo1 - Servidor N_3
ceAGREGADORServiciosPolo1,10.235.192.91,297,3.6,2do Nodo de Polo1 - Servidor N_4
ceAGREGADORServiciosPolo1,10.235.192.91,298,3.6,2do Nodo de Polo1 - Servidor N_5
ceAGREGADORServiciosPolo1,10.235.192.91,299,3.6,2do Nodo de Polo1 - Servidor N_6
ceAGREGADORServiciosPolo1,10.235.192.91,300,3.6,2do Nodo de Polo1 - Servidor N_7
ceAGREGADORServiciosPolo1,10.235.192.91,301,3.6,2do Nodo de Polo1 - Servidor N_8
ceAGREGADORServiciosPolo1,10.235.192.91,228,7.5,3er Nodo de Polo1 - Servidor N_1
ceAGREGADORServiciosPolo1,10.235.192.91,229,7.5,3er Nodo de Polo1 - Servidor N_2
ceAGREGADORServiciosPolo1,10.235.192.91,230,7.5,3er Nodo de Polo1 - Servidor N_3
ceAGREGADORServiciosPolo1,10.235.192.91,231,7.5,3er Nodo de Polo1 - Servidor N_4
ceAGREGADORServiciosPolo1,10.235.192.91,180,7.5,3er Nodo de Polo1 - Servidor N_5
ceAGREGADORServiciosPolo1,10.235.192.91,181,7.5,3er Nodo de Polo1 - Servidor N_6
