Device,Host,Index,Transporte(Gbps),Servicio,TierOne,Neighbor,Router
rMPLSVillaSalvadorBR1,10.235.0.48,170,-,ServiciosInternet,Polo1 ,IslaServicios - Polo1 ,BR Cisco_VES
rMPLSVillaSalvadorBR1,10.235.0.48,169,-,ServiciosInternet,Villa,IslaServicios - Villa,BR Cisco_VES
rMPLSVillaSalvadorBR01,10.235.0.124,231,-,ServiciosInternet,Polo1 ,ceAgregadorServiciosVES,BR Huawei_VES
rMPLSVillaSalvadorBR01,10.235.0.124,365,-,ServiciosInternet,Polo1 ,ceAgregadorServiciosPolo1,BR Huawei_VES
rMPLSVillaSalvadorBR01,10.235.0.124,228,-,ServiciosInternet,Villa,nIsladeServiciosVillaSalvador,BR Huawei_VES
rMPLSVillaSalvadorBR01,10.235.0.124,77,-,PeerInt,1er Internexa,FO - 1er Internexa,BR Huawei_VES
rMPLSVillaSalvadorBR01,10.235.0.124,26,-,PeerInt,1er Verizon,FO - 1er Verizon,BR Huawei_VES
rMPLSVillaSalvadorBR01,10.235.0.124,382,-,PeerInt,4to y 5to Tata,LAN - 4to y 5to Tata,BR Huawei_VES
rMPLSVillaSalvadorBR1,10.235.0.48,194,-,PeerInt,1er BundleTeliasonera,LANautilus - 1er BundleTeliasonera,BR Cisco_VES
rMPLSVillaSalvadorBR01,10.235.0.124,72,7.5,PeerInt,1er BBIP,Level3 - 1er BBIP,BR Huawei_VES
rMPLSVillaSalvadorBR1,10.235.0.48,71,-,PeerInt,1er NTT,Level3 - 1er NTT,BR Cisco_VES
rMPLSVillaSalvadorBR1,10.235.0.48,73,-,PeerInt,2do Tata,Level3 - 2do Tata,BR Cisco_VES
rMPLSVillaSalvadorBR01,10.235.0.124,383,-,PeerIntGoogle,1er y 2do Google,TIWS - 1er y 2do Google,BR Huawei_VES
rMPLSVillaSalvadorBR1,10.235.0.48,114,-,PeerInt,1ro 2do 5to 6to GTT,TIWS -1ro 2do  5to 6to GTT,BR Cisco_VES
rMPLSVillaSalvadorBR01,10.235.0.124,66,8.8,PeerIntFacebook,2do Facebook,TIWS - 2do Facebook,BR Huawei_VES
rMPLSVillaSalvadorBR01,10.235.0.124,352,-,PeerIntFacebook,3er Facebook,TIWS - 3er Facebook,BR Huawei_VES
rMPLSVillaSalvadorBR1,10.235.0.48,76,-,NAP,NAP_1,Local - NAP_1,BR Cisco_VES
rMPLSVillaSalvadorBR1,10.235.0.48,184,-,Core,BR Cisco - BR Huawei,Local - BR Cisco - BR Huawei,BR Cisco_VES
rMPLSVillaSalvadorBR1,10.235.0.48,162,-,Core,BR Cisco - BR Huawei,Local - BR Cisco - BR Huawei,BR Cisco_VES
rMPLSVillaSalvadorBR01,10.235.0.124,222,-,Core,BR Huawei - Core,Local - BR Huawei - Core,BR Huawei_VES
rMPLSVillaSalvadorBR01,10.235.0.124,223,-,Core,BR Huawei - Core,Local - BR Huawei - Core,BR Huawei_VES
rMPLSVillaSalvadorBR1,10.235.0.48,227,-,Cliente,-,NUEVATEL (SIERRA),BR Cisco_VES
rMPLSVillaSalvadorBR1,10.235.0.48,226,-,Cliente,-,NUEVATEL (COSTA),BR Cisco_VES
rMPLSPolo1BR2,10.235.0.49,167,-,ServiciosInternet,Polo1 ,IslaServicios - Polo1 ,BR Cisco_Polo1
rMPLSPolo1BR2,10.235.0.49,206,-,ServiciosInternet,Polo1 ,IslaServicios - Polo1 ,BR Cisco_Polo1
rMPLSPolo1BR2,10.235.0.49,205,-,ServiciosInternet,VES,IslaServicios - VES,BR Cisco_Polo1
rMPLSPolo1BR02,10.235.0.123,365,-,ServiciosInternet,Polo1 ,ceAgregadorServiciosVES,BR Huawei_Polo1
rMPLSPolo1BR02,10.235.0.123,229,-,ServiciosInternet,Polo1 ,ceAgregadorServiciosPolo1,BR Huawei_Polo1
