Router,Host,Index,Transporte(Gbps),IRU,TierOne,Enlace,Lugar,Ruta,Peru,FechaActiv,Status
rMPLSVillaSalvadorBR1,10.235.0.48,73,10,Level3,2doTATA,Level3-2doTATA,NewYork,Pacifico,VillaSalvador,2012,-
rMPLSVillaSalvadorBR1,10.235.0.48,74,10,TIWS,1erGoogle,TIWS-1erGoogle,Miami,Pacifico,VillaSalvador,ene-14,-
rMPLSVillaSalvadorBR1,10.235.0.48,49,10,LANautilus,2doGoogle,LANautilus-2doGoogle,Miami,Pacifico,VillaSalvador,,
rMPLSVillaSalvadorBR1,10.235.0.48,75,10,TIWS,1erGTT,TIWS-1erGTT,Miami,Pacifico,VillaSalvador,may-14,-
rMPLSVillaSalvadorBR1,10.235.0.48,47,10,TIWS,2doGTT,TIWS-2doGTT,Miami,Pacifico,VillaSalvador,abr-15,-
rMPLSVillaSalvadorBR1,10.235.0.48,46,10,TIWS,4toTATA,TIWS-4toTATA,Miami,Pacifico,VillaSalvador,feb-15,-
rMPLSVillaSalvadorBR1,10.235.0.48,48,10,LAN,5toTATA,LAN-5toTATA,Miami,-,VillaSalvador,feb-15,-
rMPLSVillaSalvadorBR1,10.235.0.48,76,10,Local,NAP_1,Local-NAP_1,GMD,-,VillaSalvador,feb-15,-
rMPLSVillaSalvadorBR1,10.235.0.48,169,100,IslaServicios,Villa,IslaServicios-Villa,-,-,VillaSalvador,2014,-
rMPLSVillaSalvadorBR1,10.235.0.48,170,100,IslaServicios,Polo1,IslaServicios-Polo1,-,-,VillaSalvador,2013,-
rMPLSVillaSalvadorBR1,10.235.0.48,123,73,HFC,Villa,HFC-Villa,-,-,VillaSalvador,oct-16,-
rMPLSVillaSalvadorBR1,10.235.0.48,124,14.6,MOVIL,Villa,MOVIL-Villa,-,-,VillaSalvador,may-15,-
rMPLSVillaSalvadorBR1,10.235.0.48,125,58.4,HFC,Villa,HFC-Villa,-,-,VillaSalvador,jun-15,-
rMPLSVillaSalvadorBR1,10.235.0.48,127,73,CGNAT-Plus,Villa,CGNAT-Plus-Villa,-,-,VillaSalvador,jun-15,-
rMPLSVillaSalvadorBR1,10.235.0.48,126,73,CGNAT-Plus-2,Villa,CGNAT-Plus-2-Villa,-,-,VillaSalvador,octu-16,-
rMPLSVillaSalvadorBR1,10.235.0.48,188,73,CGNAT-Plus-3,Villa,CGNAT-Plus-3-Villa,-,-,VillaSalvador,en-17,-
rMPLSPolo1BR2,10.235.0.49,105,10,TIWS,1erTATA,TIWS-1erTATA,Miami,Pacifico,Polo1,2010,-
rMPLSPolo1BR2,10.235.0.49,106,10,TIWS,1erTINET,TIWS-1erTINET,Miami,Atlantico,Polo1,2011,-
rMPLSPolo1BR2,10.235.0.49,107,10,TIWS,1erTeliasonera,TIWS-1erTeliasonera,Miami,Pacifico,Polo1,jul-13,-
rMPLSPolo1BR2,10.235.0.49,108,10,Level3,2doTeliasonera,Level3-2doTeliasonera,LosAngeles,Pacifico,Polo1,ago-13,-
rMPLSPolo1BR2,10.235.0.49,109,10,Level3,3erTATA,Level3-3erTATA,LosAngeles,Pacifico,Polo1,jun-14,-
rMPLSPolo1BR2,10.235.0.49,91,10,LANautilus,2doNTT,LANautilus-2doNTT,Miami,Pacifico,Polo1,abr-15,-
rMPLSPolo1BR2,10.235.0.49,92,8.8,LANautilus,1erFacebook,LANautilus-1erFacebook,Miami,Pacifico,Polo1,sep-15,-
rMPLSPolo1BR2,10.235.0.49,93,10,LANautilus,3erTeliasonera,LANautilus-3erTeliasonera,Miami,Pacifico,Polo1,oct-15,-
rMPLSPolo1BR2,10.235.0.49,94,10,Local,OLO,Local-OLO,Miami,Pacifico,Polo1,dic-16,-
rMPLSPolo1BR2,10.235.0.49,110,10,Local,NAP_1,Local-NAP_1,GMD,-,Polo1,-,-
rMPLSPolo1BR2,10.235.0.49,98,10,Local,NAP_2,Local-NAP_2,GMD,-,Polo1,-,-
rMPLSPolo1BR2,10.235.0.49,207,20,TIWS-LANautilus,3er y 4to GTT,TIWS-LANautilus-1erBundleGTT,Miami,Pacifico,Polo1,jun-15,-
rMPLSPolo1BR2,10.235.0.49,178,80,IslaServicios,Polo1,IslaServicios-Polo1,-,-,Polo1,jun-15,-
rMPLSPolo1BR2,10.235.0.49,179,80,IslaServicios,VES,IslaServicios-VES,-,-,Polo1,-,-
rMPLSPolo1BR2,10.235.0.49,206,100,IslaServicios,Polo1,IslaServicios-Polo1,-,-,Polo1,-,-
rMPLSPolo1BR2,10.235.0.49,205,100,IslaServicios,VES,IslaServicios-VES,-,-,Polo1,2013,
rMPLSPolo1BR2,10.235.0.49,173,20,MOVIL,Polo1,MOVIL-Polo1,-,-,Polo1,may-15,
rMPLSPolo1BR2,10.235.0.49,174,73,HFC,Polo1,HFC-Polo1,-,-,Polo1,-,
rMPLSPolo1BR2,10.235.0.49,190,73,HFC,Polo1,HFC-Polo1,-,-,Polo1,-,
rMPLSPolo1BR2,10.235.0.49,176,20,CGNAT,Polo1,CGNAT-Polo1,-,-,Polo1,-,
rMPLSPolo1BR2,10.235.0.49,177,73,CGNAT-Plus,Polo1,CGNAT-Plus-Polo1,-,-,Polo1,-,
rMPLSPolo1BR2,10.235.0.49,191,73,CGNAT-Plus-2,Polo1,CGNAT-Plus-2-Polo1,-,-,Polo1,-,
rMPLSTrujilloBR3,10.235.2.8,100,40,AGGTrujillo4,Trujillo,AGGTrujillo4-Trujillo,-,-,Trujillo,-,
rMPLSTrujilloBR3,10.235.2.8,30,14.6,Movil,Trujillo,Movil-Trujillo,-,-,Trujillo,-,
rMPLSTrujilloBR3,10.235.2.8,31,58.4,HFC,Trujillo,HFC-Trujillo,-,-,Trujillo,-,
rMPLSTrujilloBR3,10.235.2.8,32,73,CGNAT-Plus,Trujillo,CGNAT-Plus-Trujillo,-,-,Trujillo,-,
rMPLSTrujilloBR3,10.235.2.8,117,20,CGNAT,Trujillo,CGNAT-Trujillo,-,-,Trujillo,-,
rMPLSArequipaBR4,10.235.2.18,89,40,AGGArequipa4,Arequipa,AGGArequipa4-Arequipa,-,-,Arequipa,-,
rMPLSArequipaBR4,10.235.2.18,28,14.6,Movil,Arequipa,Movil-Arequipa,-,-,Arequipa,-,
rMPLSArequipaBR4,10.235.2.18,29,58.4,HFC,Arequipa,HFC-Arequipa,-,-,Arequipa,-,
rMPLSArequipaBR4,10.235.2.18,30,73,CGNAT-Plus,Arequipa,CGNAT-Plus-Arequipa,-,-,Arequipa,-,
rMPLSArequipaBR4,10.235.2.18,101,20,CGNAT,Arequipa,CGNATArequipa,-,-,Arequipa,-,
