Router,Host,Index,Transporte(Gbps),Status
cMPLSArriola,10.253.2.20,10124,1,-
cMPLSArriola,10.253.2.20,10201,10,-
cMPLSRafaelEscardo,10.253.4.28,10201,10,-
cMPLSPuntaHermosa,10.253.6.26,10201,10,-
cMPLSAviacion,10.253.2.13,10201,10,-
cMPLSInternetCP,10.253.6.2,10201,10,-
cMPLSMonterrico,10.253.2.19,10201,10,-
cMPLSSanMiguel,10.253.4.27,10201,10,-
cMPLSShellCollique,10.253.0.20,10201,10,-
cMPLSZarate,10.253.2.45,10201,10,-
cMPLSCamacho,10.253.2.24,10201,10,-
cMPLSRoosevelt,10.253.6.3,10201,10,-
cMPLSHumboldt,10.253.2.4,10201,10,-
cMPLSPando,10.253.4.29,10201,10,-
cMPLSHuancayo,10.253.27.1,10124,1,-
cMPLSNuevoFelverana,10.253.2.26,10201,10,-
cMPLSLaPunta,10.253.4.30,10201,10,-
cMPLSVillaSalvador,10.253.6.23,10201,10,-
cMPLSSanJuan,10.253.6.18,10201,10,-
cMPLSChorrillos,10.253.6.13,10201,10,-
cMPLSIngenieria,10.253.0.10,10201,10,-
cMPLSLosOlivos,10.253.0.28,10201,10,-
cMPLSLosOlivos2,10.253.0.29,10201,10,-
cMPLSAeropuerto,10.253.4.12,10201,10,-
cMPLSCallao,10.253.4.23,10202,10,-
cMPLSColonial,10.253.0.37,10201,10,-
cMPLSSantaAnita,10.253.2.40,10201,10,-
cMPLSLaMolina,10.253.2.35,10201,10,-
cMPLSSanLuis2,10.253.2.21,10201,10,-
cMPLSSanLuis,10.253.2.14,10201,10,-
cMPLSRicardoPalma,10.253.2.3,10201,10,-
cMPLSElRosario,10.253.2.5,10201,10,-
cMPLSChacarilla,10.253.2.2,10201,10,-
cMPLSChinchon,10.253.8.1,10201,10,-
cMPLSCotabambas,10.253.0.1,10201,10,-
cMPLSPlayaReal,10.253.6.5,10201,10,-
cMPLSTristan,10.253.4.2,10201,10,-
cMPLSSaladium,10.253.8.2,10202,10,-
cMPLSSanFelipe,10.253.4.1,10201,10,-
cMPLSAsia,10.253.6.25,10123,1,-
cMPLSVallejo,10.253.2.25,10201,10,-
cMPLSHiguereta,10.253.2.1,10201,10,-
cMPLSPardoyAliaga,10.253.6.4,10201,10,-
cMPLSSantaLuzmila,10.253.0.19,10201,10,-
AgMPLSLurin,10.253.6.24,1,10,-
AgMPLSCotabambas3,10.253.0.4,17,1,-
AgMPLSPampaLibre,10.253.12.1,25,1,-
AgMPLSOcharan2,10.253.6.9,1,10,-
AgMPLSOcharan,10.253.6.8,1,10,-
AgMPLSOcharan3,10.253.6.10,9,10,-
AgMPLSLaMerced,10.253.27.10,25,1,-
AgMPLSTarma,10.253.27.9,25,1,-
AgMPLSMoquegua,10.253.28.1,1,10,-
AgMPLSNeshuya,10.253.17.17,25,1,-
AgMPLSSicuani,10.191.192.1,25,1,-
AgMPLSHuisonroque,10.191.200.1,25,1,-
AgMPLSPlayaArica,10.253.6.29,25,1,-
AgMPLSCACPuertoMaldonado,10.253.20.1,1,10,-
AgMPLSVentanilla,10.253.4.8,9,10,-
AgMPLSPunoCentro,10.191.200.5,1,1,-
AgMPLSSullana,10.253.10.2,1,10,-
AgMPLSHuauraPueblo,10.253.22.3,25,1,-
AgMPLSMachuPicchu,10.191.192.2,17,1,-
AgMPLSQuillabamba,10.253.21.15,25,1,-
AgMPLSBaseLosIncas,10.253.4.9,1,10,-
AgMPLSAyaviri,10.191.200.2,25,1,-
AgMPLSLaCultura,10.253.21.9,25,1,-
AgMPLSAviacion,10.253.2.16,1,10,-
AgMPLSBarranca,10.253.22.4,25,1,-
AgMPLSJockeyPlaza,10.253.2.15,1,10,-
AgMPLSMonterrico,10.253.2.22,35,1,-
AgMPLSPacasmayo,10.253.12.5,25,1,-
AgMPLSZarate2,10.253.2.47,1,10,-
AgMPLSZarate,10.253.2.46,1,10,-
AgMPLSZarate3,10.253.2.48,9,10,-
AgMPLSCamacho,10.253.2.27,1,10,-
AgMPLSHuacho,10.253.22.1,1,10,-
AgMPLSCuzco,10.253.21.1,25,1,-
AgMPLSArriola,10.253.8.16,25,1,-
AgMPLSVillaSalvador,10.253.6.30,25,1,-
AgMPLSSanJuan2,10.253.6.21,9,10,-
AgMPLSSanJuan,10.253.6.20,25,1,-
AgMPLSChorrillos,10.253.6.15,25,1,-
AgMPLSLosOlivos,10.253.0.30,1,10,-
AgMPLSAeropuerto,10.253.4.13,1,10,-
AgMPLSColonial2,10.253.0.35,1,10,-
AgMPLSColonial,10.253.0.36,1,10,-
AgMPLSSantaAnita,10.253.2.41,9,10,-
AgMPLSLaMolina,10.253.2.33,9,10,-
AgMPLSChacarilla,10.253.2.9,9,10,-
AgMPLSCEmpSanIsidro,10.253.8.8,1,10,-
AgMPLSChinchon,10.253.8.9,1,10,-
AgMPLSCotabambas2,10.253.0.3,25,1,-
AgMPLSCotabambas,10.253.0.2,1,10,-
AgMPLSSanFelipe,10.253.4.4,1,10,-
AgMPLSHiguereta,10.253.2.6,1,10,-
AgMPLSJuliaca,10.191.200.3,25,1,-
AgMPLSPucallpa,10.253.17.16,25,1,-
AgMPLSIca,10.253.17.1,1,10,-
AgMPLSChimbote,10.253.13.1,1,10,-
AgMPLSCajamarca,10.253.16.1,1,10,-
AgMPLSArequipa,10.253.18.1,25,1,-
AgMPLSSantaLuzmila2,10.253.0.22,1,10,-
AgMPLSSantaLuzmila,10.253.0.21,1,10,-
AgMPLSTorreLarcoMar,10.253.6.7,1,10,-
AgMPLSUrubamba,10.253.21.12,17,1,-
AgMPLSUrubamba,10.253.21.12,25,1,-
