Router,Host,Index,Capacidad,Servicio
qfabric,172.19.212.14,1091568120,0,eLANDCPolo1
qfabric,172.19.212.14,1091568123,0,eLANDCPolo1
qfabric,172.19.212.14,1091568124,0,eLANDCPolo1
qfabric,172.19.212.14,1091568125,0,eLANDCPolo1
qfabric,172.19.212.14,1091568127,0,eLANDCPolo1
qfabric,172.19.212.14,1091568128,0,eLANDCPolo1
qfabric,172.19.212.14,1091568132,0,eLANDCPolo1
qfabric,172.19.212.14,1091568133,0,eLANDCPolo1
qfabric,172.19.212.14,1091568140,0,E9000
qfabric,172.19.212.14,1091568143,0,Core
qfabric,172.19.212.14,1091568147,0,Balanceador
qfabric,172.19.212.14,1091568148,0,Balanceador
qfabric,172.19.212.14,1091568149,0,Private Cloud
qfabric,172.19.212.14,1091568152,0,Balanceador
qfabric,172.19.212.14,1091568153,0,Balanceador
qfabric,172.19.212.14,1091568157,0,DMZ
qfabric,172.19.212.14,1091568159,0,Nexus Data Center
qfabric,172.19.212.14,1091568535,0,Core
qfabric,172.19.212.14,1091568607,0,eLANDCPolo1
qfabric,172.19.212.14,1220543182,0,eLANDCPolo1
qfabric,172.19.212.14,1220543373,0,E9000
